,Unnamed: 0,headline,url,publisher,date,stock
287608,288368,"Stock Market News for January 16, 2014 - Market News",http://www.zacks.com/stock/news/119873/stock-market-news-for-january-16-2014,Zacks,2014-01-16 00:00:00,CHL
1093362,1095911,"JPMorgan bullish on residential, industrial REITs, not so much on malls",https://seekingalpha.com/news/3418190-jpmorgan-bullish-residential-industrial-reits-much-malls?source=partner_benzinga,Seeking Alpha,2018-12-19 00:00:00,MPW
531703,532995,Dividend Growth Check-Up: 2017,https://seekingalpha.com/article/4139824-dividend-growth-check-2017?source=partner_benzinga,Seeking Alpha,2018-01-24 00:00:00,EOG
146117,146496,Royal Caribbean Hits 52-Week High: Right Time to Buy? - Analyst Blog,http://www.zacks.com/stock/news/147238/royal-caribbean-hits-52-week-high-right-time-to-buy,Zacks,2014-09-15 00:00:00,AWAY
1509304,1512794,Identifying Equity REITs Worth Keeping Versus Those To Avoid Right Now - Part IX: Malls And Shopping-Centers (Small Caps),http://seekingalpha.com/article/4042477-identifying-equity-reits-worth-keeping-versus-avoid-right-now-part-ix-malls-shopping-centers?source=partner_benzinga,Seeking Alpha,2017-02-03 00:00:00,SPG
1155720,1158439,"Endurance Wealth Management, Inc. Buys SPDR Select Sector Fund - Energy Select Sector, Vanguard ...",http://www.gurufocus.com/news/471962/endurance-wealth-management-inc-buys-spdr-select-sector-fund--energy-select-sector-vanguard-smallcap-etf--dnq-mellanox-technologies-ltd-sells-nxp-semiconductors-nv-vanguard-ftseeuropean-teva-pharmaceutical-industries-l,GuruFocus,2017-01-12 00:00:00,NLSN
407010,408079,Slowly We Turn… Gold Vs.,https://www.benzinga.com/node/12718951,TalkMarkets,2018-11-16 00:00:00,DBC
796933,798779,"Royal Bank Of Scotland Group Plc Buys Henry Schein Inc, Southwest Airlines Co, Nike Inc, Sells ...",http://www.gurufocus.com/news/553392/royal-bank-of-scotland-group-plc-buys-henry-schein-inc-southwest-airlines-co-nike-inc-sells-ishares-msci-emerging-index-fund-capital-one-financial-corp-bed-bath--beyond-inc,GuruFocus,2017-08-14 00:00:00,HSIC
1045648,1048090,Stocks Turn Mixed; China Names Falter While This Software Giant Breaks Out,http://www.investors.com/market-trend/stock-market-today/stocks-slide-china-names-falter-while-this-software-company-breaks-out/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2017-06-22 00:00:00,MDSO
1659152,1663017,"So, You Thought Things Would Be Easier Huh?",https://seekingalpha.com/article/4309654-thought-things-easier-huh?source=partner_benzinga,Seeking Alpha,2019-11-28 00:00:00,TYBS
715075,716770,Gruesome Stocks,http://www.gurufocus.com/news/1141616/gruesome-stocks,GuruFocus,2020-05-19 00:00:00,GOOGL
1590057,1593774,"Economou's plan to buy DryShips propels tankers, shippers",https://seekingalpha.com/news/3492955-economous-plan-buy-dryships-propels-tankers-shippers?source=partner_benzinga,Seeking Alpha,2019-08-19 00:00:00,TGP
548810,550142,Shiller Says Buy Russia,http://seekingalpha.com/article/2867846-shiller-says-buy-russia?source=partner_benzinga,Seeking Alpha,2015-01-30 00:00:00,ERUS
58240,58429,AK Steel Transfers Over $6…… Million in Pension Obligations,https://www.benzinga.com/node/14850636,GuruFocus,2019-11-20 00:00:00,AKS
1755582,1759724,Waddell & Reed Financial's (WDR) CEO Phil Sanders on Q4 2017 Results - Earnings Call Transcript,https://seekingalpha.com/article/4141395-waddell-and-reed-financials-wdr-ceo-phil-sanders-q4-2017-results-earnings-call-transcript?source=partner_benzinga,Seeking Alpha,2018-01-30 00:00:00,WDR
825296,827212,"Hill-Rom Closes Welch Allyn Buy, Expands in Diagnostic Testing",http://www.zacks.com/stock/news/189450/hill-rom-closes-welch-allyn-buy-expands-in-diagnostic-testing?cid=CS-BENZ-FT-189450,Zacks,2015-09-09 00:00:00,ICUI
223627,224208,"Insiders Trading END, JKHY, BRCM, RAX",https://www.benzinga.com/content/thestreet-com/12/02/2327569/insiders-trading-end-jkhy-brcm-rax,webmaster,2012-02-08 00:00:00,BRCM
530575,531865,Enzymotec's (ENZY) CEO Ariel Katz on Q1 2015 Results - Earnings Call Transcript,http://seekingalpha.com/article/3165686-enzymotecs-enzy-ceo-ariel-katz-on-q1-2015-results-earnings-call-transcript?source=partner_benzinga,Seeking Alpha,2015-05-10 00:00:00,ENZY
604921,606343,Earnings Preview: Family Dollar - Analyst Blog,http://www.zacks.com/stock/news/83877/earnings-preview-family-dollar,Zacks,2012-10-01 00:00:00,FDO
1107491,1110080,"Shell Axes 2020 Capex by $5B, Adheres to $10B Divestment Plans",http://www.zacks.com/stock/news/831642/shell-axes-2020-capex-by-%245b-adheres-to-%2410b-divestment-plans?cid=CS-BENZ-FT-analyst_blog|company_news_-_energy_sector-831642,Zacks,2020-03-24 00:00:00,MTDR
715159,716854,"RV Capital GmbH Buys Carvana Co, Alphabet Inc",http://www.gurufocus.com/news/1131272/rv-capital-gmbh-buys-carvana-co-alphabet-inc,GuruFocus,2020-05-08 00:00:00,GOOGL
1008914,1011270,Don't Fight The Fed,https://seekingalpha.com/article/4271442-fight-fed?source=partner_benzinga,Seeking Alpha,2019-06-21 00:00:00,LQD
722764,724476,Snap election sends Greek stocks soaring,https://seekingalpha.com/news/3466949-snap-election-sends-greek-stocks-soaring?source=partner_benzinga,Seeking Alpha,2019-05-27 00:00:00,GREK
691047,692670,The Chemist's Quality CEF Report - March 2018,https://seekingalpha.com/article/4163476-chemists-quality-cef-report-march-2018?source=partner_benzinga,Seeking Alpha,2018-04-17 00:00:00,GHY
270016,270724,FCC chairman sets December push to end net neutrality rules,https://seekingalpha.com/news/3313891-fcc-chairman-sets-december-push-end-net-neutrality-rules?source=partner_benzinga,Seeking Alpha,2017-11-21 00:00:00,CCOI
401746,402792,The Bond Bubble Is About To Burst,http://seekingalpha.com/article/3997622-bond-bubble-burst?source=partner_benzinga,Seeking Alpha,2016-08-09 00:00:00,D
1566115,1569765,Sysco - 52 Week High,http://www.tradershuddle.com/20121002535194/52-WeekHighLow/sysco-52-week-high.html,Traders Huddle,2012-10-02 00:00:00,SYY
111632,111940,FIDO Alliance Announces New Leadership Team for 2015,http://www.gurufocus.com/news/311294/fido-alliance-announces-new-leadership-team-for-2015,GuruFocus,2015-01-28 00:00:00,ARMH
711395,713063,Oil: The Wildfire Spreads,http://seekingalpha.com/article/3716406-oil-the-wildfire-spreads?source=partner_benzinga,Seeking Alpha,2015-11-27 00:00:00,GNW
504295,505530,Top Ranked Income Stocks to Buy for July 31st,http://www.zacks.com/commentary/455091/top-ranked-income-stocks-to-buy-for-july-31st?cid=CS-BENZ-FT-zacks_#1_rank_additions-455091,Zacks,2019-07-31 00:00:00,EFC
1652588,1656448,US Futures Trade Lower And Gold Climbs As Unrest Hits Cities Nationwide,https://talkmarkets.com/content/us-futures-trade-lower-and-gold-climbs-as-unrest-hits-cities-nationwide?post=263955,TalkMarkets,2020-06-01 00:00:00,TWTR
591432,592845,The Brazilian Real Sits Near The Lows - Another Buying Opportunity,https://seekingalpha.com/article/4293500-brazilian-real-sits-near-lows-another-buying-opportunity?source=partner_benzinga,Seeking Alpha,2019-09-26 00:00:00,FBZ
494102,495314,Stericycle in Neutral Lane - Analyst Blog,https://www.benzinga.com/content/zacks-investment-research-all-commentary-articles/11/04/994197/stericycle-in-neutral-lane-an,webmaster,2011-04-11 00:00:00,ECOL
1161054,1163782,Noah Holdings (NOAH) in Focus: Stock Adds 5.3% in Session - Tale of the Tape,http://www.zacks.com/stock/news/141704/noah-holdings-adds-53-in-session,Zacks,2014-07-29 00:00:00,NOAH
414421,415498,Macy's - Set For Healthy Performance In 2015,http://seekingalpha.com/article/2836036-macys-set-for-healthy-performance-in-2015?source=partner_benzinga,Seeking Alpha,2015-01-21 00:00:00,DDS
1678959,1682895,These Four Top Software Stocks In The No. 1 Industry Form New Bases,http://www.investors.com/stock-lists/sector-leaders/growth-stocks-new-buy-points/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2018-05-04 00:00:00,ULTI
1134087,1136744,"May –– Deadline Alert: Portnoy Law Advises Cronos, NMC Health, Funko and Norwegian Cruise ...",http://www.gurufocus.com/news/1132117/may-11-deadline-alert-portnoy-law-advises-cronos-nmc-health-funko-and-norwegian-cruise-line-investors-of-looming-class-action-deadline,GuruFocus,2020-05-10 00:00:00,NCLH
1647291,1651144,Emerging Markets: Far (East) From Being Out Of The Woods/Wounds,https://seekingalpha.com/article/4200336-emerging-markets-far-east-woods-wounds?source=partner_benzinga,Seeking Alpha,2018-08-19 00:00:00,TUR
438414,439543,Amcon Distributing Company reports Q4 results,https://seekingalpha.com/news/3407822-amcon-distributing-company-reports-q4-results?source=partner_benzinga,Seeking Alpha,2018-11-08 00:00:00,DIT
697426,699068,"Gold: Is The $1,300 Level Next?",https://seekingalpha.com/article/4257787-gold-1300-level-next?source=partner_benzinga,Seeking Alpha,2019-04-29 00:00:00,GLL
171016,171468,BFC Financial Corporation Declares Annual Dividend,http://www.gurufocus.com/news/419916/bfc-financial-corporation-declares-annual-dividend,GuruFocus,2016-06-08 00:00:00,BBX
1389792,1393022,"Matarin Capital Management, LLC Buys Renewable Energy Group Inc, AMN Healthcare Services Inc, ...",http://www.gurufocus.com/news/1118211/matarin-capital-management-llc-buys-renewable-energy-group-inc-amn-healthcare-services-inc-inogen-inc-sells-arrowhead-pharmaceuticals-inc-insight-enterprises-inc-apple-inc,GuruFocus,2020-04-27 00:00:00,RLJ
463812,464972,Will Expeditors' (EXPD) Q2 Earnings Please Investors? - Analyst Blog,http://www.zacks.com/stock/news/184756/will-expeditors-expd-q2-earnings-please-investors?cid=CS-BENZ-FT-184756,Zacks,2015-08-03 00:00:00,DRYS
194014,194521,Bio-Rad Laboratories' (BIO) CEO Norman Schwartz on Q2 2016 Results - Earnings Call Transcript,http://seekingalpha.com/article/3995497-bio-rad-laboratories-bio-ceo-norman-schwartz-q2-2016-results-earnings-call-transcript?source=partner_benzinga,Seeking Alpha,2016-08-03 00:00:00,BIO
1563265,1566911,Synaptics Surges To High After Beating Earnings Views,https://www.benzinga.com/content/[field_source-raw]/12/01/2296347/synaptics-surges-to-high-after-beating-earnings-views,Investor's Business Daily,2012-01-27 00:00:00,SYNA
867670,869715,Charts Paint Improved Picture,https://www.benzinga.com/content/thestreet-com/125946/charts-paint-improved-picture,webmaster,2010-02-14 00:00:00,IR
1547449,1551077,"SunEdison Soars After Finding 'Overly Optimistic Culture,' Not Fraud",http://www.investors.com/news/technology/sunedison-ex-worker-blamed-for-bungled-vivint-solar-deal-audit/?ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2016-04-14 00:00:00,SUNE
1828364,1832672,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq XME BTK XLE FDN,http://marketfy.com/product/ecstatic-plays/blog/891/view/95536/,Marketfy Insights,2015-11-19 00:00:00,YHOO
311807,312613,Stocks Going Ex-Dividend The Fourth Week Of January,http://seekingalpha.com/article/4038027-stocks-going-ex-dividend-fourth-week-january?source=partner_benzinga,Seeking Alpha,2017-01-19 00:00:00,CLX
1195470,1198272,Nuveen Municipal Credit Income Fund declares $0.066 dividend,https://seekingalpha.com/news/3503527-nuveen-municipal-credit-income-fund-declares-0_066-dividend?source=partner_benzinga,Seeking Alpha,2019-10-02 00:00:00,NZF
522108,523381,Fiera Capital Emerging Markets Select Strategy Q2 2019 Quarterly Commentary,https://seekingalpha.com/article/4275636-fiera-capital-emerging-markets-select-strategy-q2-2019-quarterly-commentary?source=partner_benzinga,Seeking Alpha,2019-07-18 00:00:00,EMSH
1456621,1459984,Steel Industry Stock Outlook - May 2018,http://www.zacks.com/commentary/161268/steel-industry-stock-outlook-may-2018?cid=CS-BENZ-FT-161268,Zacks,2018-05-07 00:00:00,SHLO
1266156,1269092,Equity CEFs: My Top Picks For 2018,https://seekingalpha.com/article/4132487-equity-cefs-top-picks-2018?source=partner_benzinga,Seeking Alpha,2017-12-18 00:00:00,PEO
409468,410539,Zacks.com ETF Strategist Eric Dutram highlights: Bet Against the Dollar With These Three Currency ETFs - Press Releases,http://www.zacks.com/stock/news/73404/zackscom-etf-strategist-eric-dutram-highlights-bet-against-the-dollar-with-these-three-currency-etfs,Zacks,2012-04-20 00:00:00,DBV
1507622,1511104,StockLab Reports: Of Mice and Men,https://www.benzinga.com/node/12569759,BayStreet,2018-10-25 00:00:00,SPEX
715129,716824,"Altarock Partners Llc Buys TransDigm Group Inc, Moody's Corporation, Alphabet Inc, Sells ...",http://www.gurufocus.com/news/1135583/altarock-partners-llc-buys-transdigm-group-inc-moodys-corporation-alphabet-inc-sells-oreilly-automotive-inc,GuruFocus,2020-05-13 00:00:00,GOOGL
146644,147023,Dividend Contenders: 18 Increases Expected By July 31,http://seekingalpha.com/article/3975587-dividend-contenders-18-increases-expected-july-31?source=partner_benzinga,Seeking Alpha,2016-05-17 00:00:00,AWH
715116,716811,"Skye Global Management LP Buys Microsoft Corp, Amazon. ...",http://www.gurufocus.com/news/1137228/skye-global-management-lp-buys-microsoft-corp-amazoncom-inc-verizon-communications-inc-sells-workday-inc-netflix-inc-instructure-inc,GuruFocus,2020-05-14 00:00:00,GOOGL
1148752,1151447,Goldcorp to Buy New Gold's Interest in El Morro Project,http://www.zacks.com/stock/news/188178/goldcorp-to-buy-new-golds-interest-in-el-morro-project?cid=CS-BENZ-FT-188178,Zacks,2015-08-28 00:00:00,NGD
1501515,1504987,All four Vogtle nuclear plant co-owners vote to continue construction,https://seekingalpha.com/news/3393257-four-vogtle-nuclear-plant-co-owners-vote-continue-construction?source=partner_benzinga,Seeking Alpha,2018-09-26 00:00:00,SO
863946,865979,Midday Gainers / Losers,http://seekingalpha.com/news/2433896-midday-gainers-losers?source=partner_benzinga,Seeking Alpha,2015-04-17 00:00:00,IPDN
562082,563433,"Analysts' Actions: ETR, LULU, NVLS, TXN",https://www.benzinga.com/content/thestreet-com/11/12/2179843/analysts-actions-etr-lulu-nvls-txn,webmaster,2011-12-06 00:00:00,ETR
1750358,1754489,"WCG, CL, SJM, PRX Hit 52-Week Highs",http://www.thestreet.com/story/11476995/1/wcg-cl-sjm-prx-hit-52-week-highs.html?puc=benzinga&cm_ven=BENZINGA,TheStreet.Com,2012-03-30 00:00:00,WCG
1440240,1443572,"Biotechs lead broad market advance, XBI up 5%",https://seekingalpha.com/news/3420766-biotechs-lead-broad-market-advance-xbi-5-percent?source=partner_benzinga,Seeking Alpha,2019-01-04 00:00:00,SCYX
585792,587182,Earnings dominate premarket losers,https://seekingalpha.com/news/3515351-earnings-dominate-premarket-losers?source=partner_benzinga,Seeking Alpha,2019-11-06 00:00:00,FANG
640369,641849,Implied Volatility Surging for Twenty-First Century Fox (FOXA) Stock Options,http://www.zacks.com/stock/news/310338/implied-volatility-surging-for-twenty-first-century-fox-foxa-stock-options?cid=CS-BENZ-FT-310338,Zacks,2018-07-05 00:00:00,FOXA
587107,588498,Perfect Storm Hits The Banks,http://seekingalpha.com/article/3902436-perfect-storm-hits-banks?source=partner_benzinga,Seeking Alpha,2016-02-17 00:00:00,FAS
1075977,1078499,Warren Buffett's Secret to 50% Returns,http://www.gurufocus.com/news/228563/warren-buffetts-secret-to-50-returns,GuruFocus,2013-09-11 00:00:00,MMP
234505,235120,Wells Fargo sees Reynolds-BAT deal closing,http://seekingalpha.com/news/3245914-wells-fargo-sees-reynolds-bat-deal-closing?source=partner_benzinga,Seeking Alpha,2017-02-23 00:00:00,BTI
1577060,1580750,Technology - Top 5 Gainers / Losers as of 3:00 pm,http://seekingalpha.com/news/3193798-technology-top-5-gainers-losers-3-00-pm?source=partner_benzinga,Seeking Alpha,2016-07-18 00:00:00,TCPI
1781698,1785912,WPX Energy (WPX) to Report Q4 Earnings: What's in the Cards?,http://www.zacks.com/stock/news/354613/wpx-energy-wpx-to-report-q4-earnings-whats-in-the-cards?cid=CS-BENZ-FT-354613,Zacks,2019-02-14 00:00:00,WPX
789046,790877,Notable earnings before Thursday's open,http://seekingalpha.com/news/3056846-notable-earnings-thursday-s-open?source=partner_benzinga,Seeking Alpha,2016-01-27 00:00:00,HP
657613,659115,Global bond markets post best month in over a year,https://seekingalpha.com/news/3419786-global-bond-markets-post-best-month-year?source=partner_benzinga,Seeking Alpha,2018-12-31 00:00:00,FWDB
830774,832717,Ingersoll (IR) Hikes Dividend by 18% to Reward Shareholders,http://www.zacks.com/stock/news/307502/ingersoll-ir-hikes-dividend-by-18-to-reward-shareholders?cid=CS-BENZ-FT-307502,Zacks,2018-06-12 00:00:00,IEX
885823,887922,Moving Average Crossover Alert: ORIX,http://www.zacks.com/stock/news/514865/moving-average-crossover-alert-orix?cid=CS-BENZ-FT-tale_of_the_tape|50_day_moving_average-514865,Zacks,2019-09-12 00:00:00,IX
431170,432275,DHI Group (DHX) to Report Q4 Earnings: What's in the Offing?,http://www.zacks.com/stock/news/351747/dhi-group-dhx-to-report-q4-earnings-whats-in-the-offing?cid=CS-BENZ-FT-351747,Zacks,2019-02-04 00:00:00,DHX
1638159,1641984,Earnings Preview: Smithfield Foods - Analyst Blog,http://www.zacks.com/stock/news/70922/Earnings+Preview%3A+Smithfield+Foods,Zacks,2012-03-07 00:00:00,TSN
715139,716834,"Marvin & Palmer Associates Inc Buys Adobe Inc, Vertex Pharmaceuticals Inc, Alphabet Inc, ...",http://www.gurufocus.com/news/1134308/marvin--palmer-associates-inc-buys-adobe-inc-vertex-pharmaceuticals-inc-alphabet-inc-sells-the-walt-disney-co-ingersoll-rand-inc-ametek-inc,GuruFocus,2020-05-12 00:00:00,GOOGL
915669,917825,Coffee: Wait And See,http://seekingalpha.com/article/3768006-coffee-wait-and-see?source=partner_benzinga,Seeking Alpha,2015-12-21 00:00:00,JO
101411,101704,Apollo Group: After-Hours Trading,https://www.benzinga.com/content/thestreet-com/11/06/1218508/apollo-group-after-hours-trading,webmaster,2011-06-30 00:00:00,APOL
243771,244392,ONEOK Partners Evenly Poised - Analyst Blog,http://www.zacks.com/stock/news/134486/oneok-partners-evenly-poised,Zacks,2014-05-22 00:00:00,BWP
887497,889597,All Aboard! The Bottom In MLPs Is In,http://seekingalpha.com/article/3892416-aboard-bottom-mlps?source=partner_benzinga,Seeking Alpha,2016-02-12 00:00:00,IYE
715179,716874,"Redwood Investments, LLC Buys Horizon Therapeutics PLC, NovoCure, Tetra Tech Inc, Sells Funko ...",http://www.gurufocus.com/news/1127917/redwood-investments-llc-buys-horizon-therapeutics-plc-novocure-tetra-tech-inc-sells-funko-inc-the-simply-good-foods-co-vericel-corp,GuruFocus,2020-05-06 00:00:00,GOOGL
407623,408692,Putin: Let Them Eat Seeds,http://seekingalpha.com/article/3213026-putin-let-them-eat-seeds?source=partner_benzinga,Seeking Alpha,2015-05-27 00:00:00,DBC
1155830,1158549,Nielsen's Selling Stockholder to Make a Secondary Offering - Analyst Blog,http://www.zacks.com/stock/news/178308/nielsens-selling-stockholder-to-make-a-secondary-offering?cid=CS-BENZ-FT-178308,Zacks,2015-06-15 00:00:00,NLSN
1581369,1585066,"Zacks.com featured highlights include MINDBODY, TearLab, Sunesis Pharmaceuticals, Children's Place, Franklin Electric",http://www.zacks.com/stock/news/277564/zackscom-featured-highlights-include-mindbody-tearlab-sunesis-pharmaceuticals-childrens-place-franklin-electric?cid=CS-BENZ-FT-277564,Zacks,2017-10-03 00:00:00,TEAR
715046,716741,"4 Stocks to Watch as Dow Breezes Past 25,000 Points",http://www.zacks.com/stock/news/951452/4-stocks-to-watch-as-dow-breezes-past-25000-points?cid=CS-BENZ-FT-analyst_blog|industry_focus-951452,Zacks,2020-05-29 00:00:00,GOOGL
1027895,1030299,Strategic Acquisitions to Benefit Watsco's (WSO) Q3 Earnings,http://www.zacks.com/stock/news/565687/strategic-acquisitions-to-benefit-watscos-wso-q3-earnings?cid=CS-BENZ-FT-analyst_blog|earnings_preview-565687,Zacks,2019-10-15 00:00:00,MAS
132176,132523,Can the Uptrend Continue for Air Transport Services (ATSG)? - Tale of the Tape,http://www.zacks.com/stock/news/175193/can-the-uptrend-continue-for-air-transport-services-atsg,Zacks,2015-05-18 00:00:00,ATSG
870584,872639,"Ironwood (IRWD) Beats Estimates in Q3 Earnings, Stock Up",http://www.zacks.com/stock/news/281719/ironwood-irwd-beats-estimates-in-q3-earnings-stock-up?cid=CS-BENZ-FT-281719,Zacks,2017-11-03 00:00:00,IRWD
1757223,1761365,Wendy's Gets IBD Stock Rating Upgrade,http://www.investors.com/ibd-data-stories/wendys-gets-ibd-stock-rating-upgrade/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2019-09-30 00:00:00,WEN
938199,940399,Here's Why Momentum Investors Will Love Kinross Gold (KGC),http://www.zacks.com/stock/news/461283/heres-why-momentum-investors-will-love-kinross-gold-kgc?cid=CS-BENZ-FT-tale_of_the_tape|yseop_template_10-461283,Zacks,2019-08-08 00:00:00,KGC
85361,85619,Aemetis reports Q2 results,http://seekingalpha.com/news/3202554-aemetis-reports-q2-results?source=partner_benzinga,Seeking Alpha,2016-08-11 00:00:00,AMTX
262283,262954,Zacks Rank #1 Additions for Friday - Tale of the Tape,http://www.zacks.com/stock/news/159103/here-are-5-stocks-added-to-the-zacks-rank-1-strong-buy-list-for-friday,Zacks,2015-01-02 00:00:00,CBPO
92628,92909,Wall Street Breakfast: Blow To Healthcare Consolidation,http://seekingalpha.com/article/4044203-wall-street-breakfast-blow-healthcare-consolidation?source=partner_benzinga,Seeking Alpha,2017-02-09 00:00:00,ANTM
293558,294324,'Mad Money Lightning Round': Goldman Sachs Not Yet Golden,https://www.benzinga.com/content/thestreet-com/10/05/302732/mad-money-lightning-round-goldman-sachs-not-yet-golden,webmaster,2010-05-26 00:00:00,CHU
1732540,1736634,"Spearhead Capital Advisors, LLC Buys Healthpeak Properties Inc, Vanguard Energy ETF, Vanguard ...",http://www.gurufocus.com/news/1031591/spearhead-capital-advisors-llc-buys-healthpeak-properties-inc-vanguard-energy-etf-vanguard-industrials-etf-sells-exxon-mobil-corp-3m-co-ishares-sp-100-etf,GuruFocus,2020-02-06 00:00:00,VTI
538389,539698,EU Marriage Ends In Messy Brexit Divorce,http://seekingalpha.com/article/3986025-eu-marriage-ends-messy-brexit-divorce?source=partner_benzinga,Seeking Alpha,2016-07-03 00:00:00,EPV
28939,29067,Aegion (AEGN) Q1 Earnings Preview: What's in the Cards?,http://www.zacks.com/stock/news/396172/aegion-aegn-q1-earnings-preview-whats-in-the-cards?cid=CS-BENZ-FT-396172,Zacks,2019-04-24 00:00:00,AEGN
1701265,1705287,The Land Of The Free,https://seekingalpha.com/article/4291569-land-free?source=partner_benzinga,Seeking Alpha,2019-09-14 00:00:00,VGIT
785006,786834,Is Harley-Davidson Closing in to Resistance?,http://www.tradershuddle.com/Trading-Ideas/41148403212012-is-harleydavidson-closing-in-to-resistance.html,Traders Huddle,2012-03-21 00:00:00,HOG
1640138,1643972,"Tesaro, AstraZeneca Could Shrink Clovis' Ovarian Cancer Drug Pool",http://www.investors.com/news/technology/tesaro-astrazeneca-could-shrink-clovis-ovarian-cancer-drug-pool/?ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2017-01-30 00:00:00,TSRO
660240,661793,Continued U.S. Dollar Strength Will Impact U.S.-Based Multinationals,http://seekingalpha.com/article/4005742-continued-u-s-dollar-strength-will-impact-u-s-based-multinationals?source=partner_benzinga,Seeking Alpha,2016-09-12 00:00:00,FXF
715097,716792,Selling Into Strength Paid Off For Google Stock,http://www.investors.com/research/swing-trading/google-stock-reversal-set-up-swing-trading-profit/?src=A00237A&ven=BenzingaCP&src=AURLAAM,Investor's Business Daily,2020-05-15 00:00:00,GOOGL
1599703,1603448,Virgin Media Remains Neutral - Analyst Blog,http://www.zacks.com/stock/news/89169/virgin-media-remains-neutral,Zacks,2012-12-24 00:00:00,TIVO
206876,207408,The Best Of 2015,http://seekingalpha.com/article/3785246-the-best-of-2015?source=partner_benzinga,Seeking Alpha,2015-12-31 00:00:00,BLT
340492,341374,"Adobe Upgrades DC, Partners with Dropbox",http://www.zacks.com/stock/news/193464/adobe-upgrades-dc-partners-with-dropbox?cid=CS-BENZ-FT-193464,Zacks,2015-10-13 00:00:00,COOL
125690,126022,Global Nano-coating Market is expected to grow USD 9.58 Billion by —…—4,http://www.gurufocus.com/news/1045304/global-nanocoating-market-is-expected-to-grow-usd-958-billion-by-2024,GuruFocus,2020-02-20 00:00:00,AT
947170,949382,"Energizer Q3 Earnings & Revenues Beat Estimates, Fall Y/Y",http://www.zacks.com/stock/news/185901/energizer-q3-earnings-revenues-beat-estimates-fall-y-y?cid=CS-BENZ-FT-185901,Zacks,2015-08-11 00:00:00,KMB
842856,844822,"Your Daily Pharma Scoop: Ablynx Takeover Bid, Celgene Acquires Impact Biomedicines, Axovant Flops Again",https://seekingalpha.com/article/4136211-daily-pharma-scoop-ablynx-takeover-bid-celgene-acquires-impact-biomedicines-axovant-flops?source=partner_benzinga,Seeking Alpha,2018-01-09 00:00:00,IMNP
1015021,1017396,Longleaf Partners Comments on Level ' Communications,http://www.gurufocus.com/news/542385/longleaf-partners-comments-on-level-3-communications,GuruFocus,2017-07-18 00:00:00,LVLT
666901,668468,By The Book III : The Peter Lynch Universe For August,https://seekingalpha.com/article/4286377-book-iii-peter-lynch-universe-august?source=partner_benzinga,Seeking Alpha,2019-08-16 00:00:00,GAIN
346380,347288,Canadian Pacific Railway: Is Its Recent Share Price Weakness A Compelling Buying Opportunity?,https://seekingalpha.com/article/4214245-canadian-pacific-railway-recent-share-price-weakness-compelling-buying-opportunity?source=partner_benzinga,Seeking Alpha,2018-10-25 00:00:00,CP
1780934,1785147,"CMTL, PHAS, GSL and LCI among after hour movers",https://seekingalpha.com/news/3501625-cmtl-phas-gsl-lci-among-hour-movers?source=partner_benzinga,Seeking Alpha,2019-09-24 00:00:00,WPRT
512880,514137,Dion's Weekly ETF Winners and Losers,https://www.benzinga.com/content/thestreet-com/11/10/2005270/dions-weekly-etf-winners-and-losers,webmaster,2011-10-22 00:00:00,EIS
672973,674548,"Guaranty Bancorp beats by $0.02, misses on revenue",http://seekingalpha.com/news/3217169-guaranty-bancorp-beats-0_02-misses-revenue?source=partner_benzinga,Seeking Alpha,2016-10-26 00:00:00,GBNK
573214,574580,Asian shares get China trade relief boost,http://seekingalpha.com/news/3172801-asian-shares-get-china-trade-relief-boost?source=partner_benzinga,Seeking Alpha,2016-04-13 00:00:00,EWH
733674,735401,Why Gold Will Shine In 2019,https://seekingalpha.com/article/4231757-gold-will-shine-2019?source=partner_benzinga,Seeking Alpha,2019-01-07 00:00:00,GTU
483880,485075,Beware Of Physical Gold's Diminishing Value,https://seekingalpha.com/article/4199254-beware-physical-golds-diminishing-value?source=partner_benzinga,Seeking Alpha,2018-08-15 00:00:00,DZZ
609821,611252,Why New Regulations Will Not Kill Coal,http://seekingalpha.com/article/3156946-why-new-regulations-will-not-kill-coal?source=partner_benzinga,Seeking Alpha,2015-05-07 00:00:00,FELP
800343,802192,"Weekly CEO Buys Highlight: MITT, NLY, OPK, ARCP, HTA",http://www.gurufocus.com/news/235282/weekly-ceo-buys-highlight-mitt-nly-opk-arcp-hta,GuruFocus,2013-11-18 00:00:00,HTA
1822266,1826570,"Progressive (PGR) Gains From Premium Growth, Cat Loss a Woe",http://www.zacks.com/stock/news/304522/progressive-pgr-gains-from-premium-growth-cat-loss-a-woe?cid=CS-BENZ-FT-304522,Zacks,2018-05-22 00:00:00,Y
1296930,1299929,Reaching For Yield? Be Aware Of What Lies Beneath...,https://seekingalpha.com/article/4300239-reaching-yield-aware-lies-beneath?source=partner_benzinga,Seeking Alpha,2019-10-30 00:00:00,PMO
